plan_name,phase,report_hash,dataset_hash,environment_kind,agent_kind,condition_hash,agent_hash,terminal_round,metric,environment_clusters,algorithm_cells,algorithm_replicas_per_environment,cluster_mean,cluster_median,cluster_minimum,cluster_maximum,cluster_sample_standard_deviation,cluster_standard_error,exact_median_interval_lower,exact_median_interval_upper,exact_median_interval_coverage,exact_median_interval_method,bit_equivalent_lower_nats,bit_equivalent_upper_nats,inference_scope
bounded-symbolic-construct-validation.v1-calibration,calibration,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,ALEA,scheduled,0571e255ca5409d5fdc04b8035b951573459282ac02764ce19e91c83d0ac159e,212aac92a1da8532e5972f40437fe5263d519fb358a0ec6fa63c804d134831ac,12,information.persistent_distractor_nats,192,576,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963916597707066,exact-sign-median,3.501940922711103,4.049392723971171,Descriptive pooled summary: environment replicas are independent clusters; algorithm replicas are averaged within each environment cluster.
bounded-symbolic-construct-validation.v1-calibration,calibration,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,ALEA,scheduled,0571e255ca5409d5fdc04b8035b951573459282ac02764ce19e91c83d0ac159e,212aac92a1da8532e5972f40437fe5263d519fb358a0ec6fa63c804d134831ac,12,information.reward_relevant_nats,192,576,3,4.1088424145927,4.156537342945196,2.7703230468008435,4.158642888433059,0.15396586148648045,0.011111528946904016,4.14721871410821,4.156537342945196,0.963916597707066,exact-sign-median,3.501940922711103,4.049392723971171,Descriptive pooled summary: environment replicas are independent clusters; algorithm replicas are averaged within each environment cluster.
bounded-symbolic-construct-validation.v1-calibration,calibration,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,ALEA,scheduled,0571e255ca5409d5fdc04b8035b951573459282ac02764ce19e91c83d0ac159e,212aac92a1da8532e5972f40437fe5263d519fb358a0ec6fa63c804d134831ac,12,information.shared_core_nats,192,576,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963916597707066,exact-sign-median,3.501940922711103,4.049392723971171,Descriptive pooled summary: environment replicas are independent clusters; algorithm replicas are averaged within each environment cluster.
bounded-symbolic-construct-validation.v1-calibration,calibration,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,ALEA,scheduled,0571e255ca5409d5fdc04b8035b951573459282ac02764ce19e91c83d0ac159e,212aac92a1da8532e5972f40437fe5263d519fb358a0ec6fa63c804d134831ac,12,information.total_acquired_nats,192,576,3,4.1088424145927,4.156537342945196,2.7703230468008435,4.158642888433059,0.15396586148648042,0.011111528946904014,4.147218714108211,4.156537342945196,0.963916597707066,exact-sign-median,3.501940922711103,4.049392723971171,Descriptive pooled summary: environment replicas are independent clusters; algorithm replicas are averaged within each environment cluster.
bounded-symbolic-construct-validation.v1-calibration,calibration,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,ALEA,scheduled,0571e255ca5409d5fdc04b8035b951573459282ac02764ce19e91c83d0ac159e,212aac92a1da8532e5972f40437fe5263d519fb358a0ec6fa63c804d134831ac,12,novelty.aleatoric_observation_novelty,192,576,3,0.8447627314814815,0.8333333333333334,0.5833333333333334,1.0,0.08561673827511575,0.0061788558612844765,0.8333333333333334,0.8333333333333334,0.963916597707066,exact-sign-median,3.501940922711103,4.049392723971171,Descriptive pooled summary: environment replicas are independent clusters; algorithm replicas are averaged within each environment cluster.
bounded-symbolic-construct-validation.v1-calibration,calibration,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,ALEA,scheduled,0571e255ca5409d5fdc04b8035b951573459282ac02764ce19e91c83d0ac159e,212aac92a1da8532e5972f40437fe5263d519fb358a0ec6fa63c804d134831ac,12,novelty.behavioral_novelty,192,576,3,0.9930555555555555,1.0,0.6666666666666666,1.0,0.04773317993742029,0.0034448455357683062,1.0,1.0,0.963916597707066,exact-sign-median,3.501940922711103,4.049392723971171,Descriptive pooled summary: environment replicas are independent clusters; algorithm replicas are averaged within each environment cluster.
bounded-symbolic-construct-validation.v1-calibration,calibration,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,ALEA,scheduled,0571e255ca5409d5fdc04b8035b951573459282ac02764ce19e91c83d0ac159e,212aac92a1da8532e5972f40437fe5263d519fb358a0ec6fa63c804d134831ac,12,novelty.compression_improvement,192,576,3,4.1088424145927,4.156537342945196,2.7703230468008435,4.158642888433059,0.15396586148648042,0.011111528946904014,4.147218714108211,4.156537342945196,0.963916597707066,exact-sign-median,3.501940922711103,4.049392723971171,Descriptive pooled summary: environment replicas are independent clusters; algorithm replicas are averaged within each environment cluster.
bounded-symbolic-construct-validation.v1-calibration,calibration,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,ALEA,scheduled,0571e255ca5409d5fdc04b8035b951573459282ac02764ce19e91c83d0ac159e,212aac92a1da8532e5972f40437fe5263d519fb358a0ec6fa63c804d134831ac,12,novelty.count_novelty,192,576,3,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.963916597707066,exact-sign-median,3.501940922711103,4.049392723971171,Descriptive pooled summary: environment replicas are independent clusters; algorithm replicas are averaged within each environment cluster.
bounded-symbolic-construct-validation.v1-calibration,calibration,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,ALEA,scheduled,0571e255ca5409d5fdc04b8035b951573459282ac02764ce19e91c83d0ac159e,212aac92a1da8532e5972f40437fe5263d519fb358a0ec6fa63c804d134831ac,12,novelty.latent_visitation_novelty,192,576,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.963916597707066,exact-sign-median,3.501940922711103,4.049392723971171,Descriptive pooled summary: environment replicas are independent clusters; algorithm replicas are averaged within each environment cluster.
bounded-symbolic-construct-validation.v1-calibration,calibration,07dabc814e26f8ace0ae6cf86ab10cfd6558bc9f32d2f48a751c5694bf35381c,eac4823bf31745572c74e75b5f98978ed84471f5e602e2ce1076e0e43fcf366e,ALEA,scheduled,0571e255ca5409d5fdc04b8035b951573459282ac02764ce19e91c83d0ac159e,212aac92a1da8532e5972f40437fe5263d519fb358a0ec6fa63c804d134831ac,12,novelty.observation_prediction_error,192,576,3,0.9785402161456854,0.9777479694535266,0.9776589894749201,0.9842504886179245,0.0011370705725378904,8.206100014279411e-05,0.9777449930121165,0.9789045180413906,0.963916597707066,exact-sign-median,3.501940922711103,4.049392723971171,Descriptive pooled summary: environment replicas are independent clusters; algorithm replicas are averaged within each environment cluster.
